Abbreviation,Full
TRIP ,Transit in the Parks
TRI-Rail ,South Florida Regional Transportation Authority
TTI ,Texas Transportation Institute
TVT ,Traffic Volume Trends
UCR ,Urban Congestion Report
UN ,United Nations
UPT ,unlinked passenger trips
U.S. ,United States
USACE ,U.S. Army Corps of Engineers
USAGE ,United States Applied General Equilibrium
U.S.C. ,United States Code
USDA ,U.S. Department of Agriculture
USFS ,U.S. Forest Service
UTA ,Utah Transit Authority
UZA ,urbanized area
VII ,Vehicle Infrastructure Integration
VIUS ,Vehicle Inventory and Use Survey
VMR ,"Valley Metro Rail, Inc."
VMS ,variable message signs
VMT ,vehicle miles traveled
VRE ,Virginia Railway Express
VRM ,vehicle revenue mile
V/SF ,volume/service flow
VSL ,value of a statistical life; variable speed limit
VTA ,Santa Clara Valley Transportation Authority
VTTS ,value of travel time savings
WMA ,warm mix asphalt
WMATA ,Washington Metropolitan Area Transit Authority
WSDOT ,Washington Department of Transportation
ZEBA ,Zero Emission Bay Area
