"","doc_id","Topic"
"114","114","Unlearning the macroeconomic lessons of the 21s (Noahstack)"
"115","115","Software engineering is becoming the highest paid career"
"116","116","Hi Terence Tao! Heres your challenge."
"117","117","Bread is incontrovertibly rac-ist"
"118","118","Best Masters Programs in terms of PhD Placement in 222"
"119","119","Vote for the EJMR Troll of the Year"
"120","120","Gonna be really funny when general intelligence turns out"
"121","121","God I hate elitism"
"122","122","Theres more white men in chinese ecommerce sites than in western ones"
"123","123","Happy Festivus. my bros."
"124","124","quotprotestquot and quotfinancequot: how do you pronounce these words?"
"125","125","Actual Fraud at JAR"
"126","126","Paper: Smart and empathic people dont care about political correctness"
"127","127","Present in front of big person working on same idea"
"128","128","Boston Dating"
"129","129","Bohui zhang vs chen lin"
"130","130","Puerto rican student has nice personality but cannot swallow my 1 inch big BBC?"
"131","131","Penn State vs Rochester vs USC vs ASU"
"132","132","Spivak wrote five consecutive books on differential geometry. Anybody read them?"
"133","133","Is ChatGPT moving toward the median voter? | MR"
"134","134","Did Glasgow call flyout?"
"135","135","Still seriously insecure about my lack of undergrad pedigree"
"136","136","Elon implemented view counts in a month. impossible at old Twitter"
"137","137","Qatar airways to pay fet model in for denying her the economy sit as she wont f"
"138","138","Is it worth it to enroll in Caltech’s econ PhD program? How competitive is it?"
"139","139","Is Caltech an overrated university?"
"140","140","Liberals Value Feelings More than Reducing Carbon Emissions"
"141","141","Should I be a code monkey or math teacher"
"142","142","27k postdoc salaries in US. their relationship to cost of living and tenure"
"143","143","Official Thread for Portuguese Programs and Economists"
"144","144","Any book recommendations for my upcoming free days?"
"145","145","FMA Schools - Offers"
"146","146","F(x+y) = f(x) + f(y). Solve f(x)"
"147","147","Why is the modern dating market a mess?"
"148","148","Insignificant results"
"149","149","US GDP is unbelievable"
"150","150","Jailed Dem NH State Rep Resigns House Seat"
"151","151","Rusphobia"
"152","152","MIT job market candidates 222-22"
"153","153","Did you left academia for the industry"
"154","154","I want them and they want me. yet we do this charade of interviews and flyouts"
"155","155","The UIUC roster is impressive not only in compsci. From Baskin robbins to playbo"
"156","156","Has your wife called?"
"157","157","Did Catholica Lisbon call?"
"158","158","James Kung: a serial data manipulator"
"159","159","Math Camp Lecture Notes (MCLN) for incoming PhD in Economics"
"160","160","ABC (Spain): Spanish Government Approves quotWokequot Gender and Abortion Laws."
"161","161","Harvard flyouts"
"162","162","Whats the earliest you have contacted an editor for an update?"
"163","163","What are Michael Jackson’s pronouns"
"164","164","Finance B-School salaries this year (Rookie Market)"
"165","165","Missing lockdowns"
"166","166","For those of you who do consulting. how stable is your income?"
"167","167","Cai made HKU a toxic place"
"168","168","Do you have many OST files to Convert into PST?"
"169","169","Top trolls of 222"
"170","170","Name me one EconTwitter Economist who has a normal personal life"
"171","171","廖理，stop洗地"
"172","172","Tesla stock down 1% in one day..."
"173","173","Ben Thompson interview with Daniel Gross and Nat Friedman | MR"
"174","174","Whyre these rookies (relative to me) getting these economics prizes amp Im not?!"
"175","175","I dont like seeing a woman playing a cello"
"176","176","quotMath Rankings by Country 222quot"
"177","177","Mark my words: micro theory will make a comeback"
"178","178","OM job rumors"
"179","179","If Elon Musk fails. white men are finished forever."
"180","180","Which places left to call?"
"181","181","Votre université peut maccorder un degré honorifique pour..."
"182","182","Summers cites the Sahm rule"
"183","183","Hows the industry job market this year"
"184","184","What’s your favorite rugby team?"
"185","185","Brown or mit?"
"186","186","I became rich overnight"
"187","187","China collapsing"
"188","188","Do any UK schools offer mortgage assistance?"
"189","189","Imagine the world without china or Russia"
"190","190","Jane Street"
"191","191","Why so few Hispanics on the USMNT?"
"192","192","Anyone else is happy to see UGs in skimpy clothes back on campus?"
"193","193","The economic costs of depression amongst the young | MR"
"194","194","Miss Frankfurt turned out to be up for sale"
"195","195","Av a t a r   2 :   T h e   W a y   o f   Wa t e r"
"196","196","Structural is voodoo. Theory is dead."
"197","197","Call for flyouts from last week’s interview"
"198","198","This forum is like 1x more rtded than MJR"
"199","199","On a day like this"
"200","200","SBF released on a 25million dollar bond"
"201","201","Awesomeness on display!"
"202","202","DiCaprio dumps Gigi Hadid. 27, for Victoria Lamas, 2, born two years after Tita"
"203","203","On nights like tonight. I think being with a fat girl makes sense"
"204","204","The blk parts of Chicago and Philly literally more violent than Afghanistan war"
"205","205","Advisor say me I have badmouth"
"206","206","Asatar Bair is defending Stalin and socialism on Twitter"
"207","207","22 Korean Job Market"
"208","208","Lastpass breached. change all your passwords"
"209","209","Do Florida schools still have tenure?"
"210","210","Lol. just lol, at econ phd havers"
"211","211","Econometrics JM Stars 222-22"
"212","212","Newsflash: Al1s1a Ludw1g is a Hyuker"
"213","213","Here is a link to the EJMR discord server"
"214","214","Purchase insurance products to get into the PhD program"
"215","215","Dear Demand-side. please send rejection emails"
"216","216","If you were on a sinking cruise liner today. would you give up a lifeboat spot"
"217","217","$44B for Ukraine with no oversight..as fishy as the random $6M allocation for"
"218","218","CL 4 top  publications"
"219","219","Cant apply to jobs anymore"
"220","220","Non tenure-track faculty position"
"221","221","George Santos was lying when he said he takes cox up his rear end"
"222","222","Social worker secretly began transitioning 1 yo in Maine public school"
"223","223","Is Wingardium Leviosaaaaa HRM?"
"224","224","Brewing Marketing Scandal"
"225","225","Does it seem like there are still a lot of job interview calls to be made?"
"226","226","22 Asian Development Bank (ADB) Young Professionals Program (YPP)"
"227","227","I will divorce my wife for GPT-5 and a sax robot"
"228","228","Alameda County became the first county in the nation to prohibit landlords from"
"229","229","How good is tsinghua PBC now?"
"230","230","COVID is really ripping through China now"
"231","231","Official Thread for Brazilian Economists"
"232","232","Why is The Fresh Market so diappointing?"
"233","233","EJMR Troll of 222..."
"234","234","The disingenuity on EJMR astounds me."
"235","235","Lakers owner Jeanie Buss gets engaged to has-been comedian _Jay Mohr_"
"236","236","Went to Amsterdam and had 4 in one week. Now I have the blues"
"237","237","I took only  days to finish a major RampR. Should I wait before I resubmit?"
"238","238","What is the most extravagant purchase you’ve ever done?"
"239","239","What are you doing tonight with the bomb cyclone"
"240","240","222 Finance Job market stars ordered"
"241","241","Complete markets and mutual funds"
"242","242","OpenAI needs to create an API to tell if a text is from ChatGPT"
"243","243","Daughter just told me she doesn’t want to go to college"
"244","244","Jealous of my neighbor"
"245","245","What is the most embarrassing thing you’ve done…"
"246","246","I just took a big k@rlstack"
"247","247","Is Binghamton political fight intense?"
"248","248","Best time to invest in anaI?"
"249","249","Zelensky is basically an ungrateful international welfare queen"
"250","250","Western Michigan"
"251","251","Have you ever paid for secs?"
"252","252","Musk is discussing border spending with 2 senators"
"253","253","James Cameron should have made Titanic 2 not Avatar 2"
"254","254","Running regression on pset grades before and after chatgpt"
"255","255","Jbros of EJMR im in borough park"
"256","256","Pit Bulls Maul Staff and Students As 21 Injured in Missouri School Attack"
"257","257","Salary for first year PhD graduate at G-research?"
"258","258","Caroline will be out in 5y and capitalize on notoriety"
"259","259","NYUs emergency room gave special treatment to donors and VIPs including Chuck S"
"260","260","Lex Fridman. DreXXXel PhD, gettin nervous ppl r not buying his MIT quotaffiliationquot"
"261","261","Why do whites (and Azns) have an advantage on IQ tests?"
"262","262","Claudia vows to sue Carl"
"263","263","Swallowed some today"
"264","264","Which member of an ethnic minority gets the most government welfare?"
"265","265","So every feemale celebrity visiting Assange in embassy would bang him. no?"
"266","266","Wow. Natasha Badger works 1-12 hour days. Im impressed."
"267","267","Would you invest your millions in a company run by 2 something year olds?"
"268","268","Honest question for leftwingers"
"269","269","Anyone else receiving condescending and degrading emails from students after gra"
"270","270","AFA 222-2 flyouts"
"271","271","WSJ: USC Sued for Submitting Inaccurate Data to US News and World Report"
"272","272","The most egregious case of nepotism in political science hiring in recent years"
"273","273","My eyes are hurting due to screen time"
"274","274","The HR chicks from the movie Margin Call are everywhere now"
"275","275","Would like to put my kcoc in some broette s mouth"
"276","276","California lost about 11. residents between July 221 and July 222,"
"277","277","Who else is suffering from depression?"
"278","278","Start company with 1M seed funding. 25% ownership, or work k wage slave job?"
"279","279","IMF Mid Career 221/222"
"280","280","How do non-binary samurai unalive their enemies"
"281","281","Chad-GPT is much better at Tinder than I am"
"282","282","Fav michael jackson song?"
"283","283","Why didnt SBF flee to Russia ?"
"284","284","People in teaching schools"
"285","285","Honest question to the Borii"
"286","286","Lex Fridman delivers death threat to Kanye West"
"287","287","Wall Street Journal: Associates of FTX Founder Plead Guilty to Criminal Charges."
"288","288","Some musing on Zelenskys US visit"
"289","289","Maya Hawke"
"290","290","This place is addicting"
"291","291","Trouble getting undergrad degree even with 141 credits. Please heklp."
"292","292","Academic economists are very left wing and pro-redistribution of wealth"
"293","293","EJMRs new official sweetheart: Milubarbiie"
"294","294","New York City parks officials banned pickleball from Manhattan"
"295","295","Why do health economists publish in nature and science... Are they high?"
"296","296","Theres a quotfat communityquot now and we should not hurt their feelings"
"297","297","Former Twitter engineer mocks Musk during call"
"298","298","China bro. can you explain why you like to save money? Most Chinese earn about"
"299","299","Can you talk to me?"
"300","300","So a Palo Alto house can secure a 25$mm bond?"
"301","301","REMINDER"
"302","302","Sniffing wifes used panties TP"
"303","303","Senior hiring in finance"
"304","304","Jeffrey Epstein loans $25mm to SBF for a bond"
"305","305","“Sire. he is a USC scholar.”"
"306","306","Fellow Industry Bros. how long do you stay at a company?"
"307","307","The Russian submarine can surface at Manhattan any moment now"
"308","308","Big yuge 6 hours for flyouts!!"
"309","309","Women gave up motherhood for -5 jobs 128514"
"310","310","Fat Indian professor is rude but wild and skillful handling my massive long BBC?"
"311","311","Bank of Canada Flyouts?"
"312","312","Health economics is a great field"
"313","313","Predict: 国足什么时候能世界杯夺冠"
"314","314","NYT confirms that Caroline and Gary Wang are turning state’s and blaming SBF"
"315","315","Is Boris a Boris? Why did he let the UK leave the EU"
"316","316","Lose competititive spirit after tenure?"
"317","317","This hutchinson babe needs an onlyfans"
"318","318","My neural network needs millions of data to decently approximate"
"319","319","Lose erection after tenure"
"320","320","I write ver good essay. dear sirs. I am ChatGPTHyderabad."
"321","321","Happy Channukah!"
"322","322","What is the feminist take on AI"
"323","323","Please update the job market wiki!"
"324","324","Ag Econ Job Market 222-22"
"325","325","In the US. being nice is seen as the same as being good"
"326","326","Ben Moll style mean field games papers"
"327","327","Why didnt Z just show up in a track suit wearing a gold chain?"
"328","328","How many of you"
"329","329","How many citations should AP have at tenure?"
"330","330","Was the third goal by Argentina offside?"
"331","331","LJL at Boris appealing to culture"
"332","332","The solution to quotsecret dataquot complaints"
"333","333","Unpopular opinion: Powerpoint is superior to Beamer"
"334","334","Tall people more likely to vote for conservatives"
"335","335","When will the causal inference fad be over?"
"336","336","WHATS UP RUSSIANS?!"
"337","337","Do you think FIFA rigged the Portugal vs Morocco game?"
"338","338","How do you curve a bad class?"
"339","339","Multiple comparison problem"
"340","340","Is the chair to blame when department turnover is high"
"341","341","No one outside of tech bubbles cares about AI"
"342","342","AI tools like ChatGPT will soon be capable of answering a large fraction"
"343","343","Is it time to buy stocks yet if you havent already?"
"344","344","GOP congressman who ran as openly ghey man is outted as a closeted straight man"
"345","345","Marriage as an institution doesnt make sense anymore for men"
"346","346","Who exactly has 25m lying around to post sbf bail?"
"347","347","Official Accounting JM Thread 22"
"348","348","Recommendation for a book that teaches financial institutions and products from"
"349","349","Why dont EJMR wikis work?"
"350","350","I am a PhD student at UPenn."
"351","351","I’m cold. Warm me up."
"352","352","Z: quotUkraine will never surrenderquot"
"353","353","If homework isnt safe from Chad-GPT."
"354","354","Day 2 of unwashed. smelly chuds complaining about Zelensky not wearing a suit"
"355","355","Guardian: Climate Change Is What Led to the Murder Surge"
"356","356","Why did all these Republican Poutain-lovers applaud for Z in the congress?"
"357","357","Putin: Patriot is a rather old system and does not work like our S-"
"358","358","Lol at atheists melting down over AI. GodChads already believe in higher power"
"359","359","How can the US afford $1.7 trillion more on spending at gt4.5% borrowing rate?"
"360","360","Sam Bankman freed"
"361","361","SampP 5 hits 5 next January"
"362","362","My students this year all feel like they’re underplacing. and blame me"
"363","363","Thought provoking new econ symposium at Yale"
"364","364","What happens if we just nvke russia?"
"365","365","Jay Powell will make the people on this forum cough up their wealth in 22"
"366","366","UC Davis incoming PhD is a reality TV star in Brazil. w/ 15M on Instagram"
"367","367","SBF to be released on 25 million bail"
"368","368","Woman arrested by English police for silent prayer"
"369","369","Turns out social media is a lot harder than rocket ships"
"370","370","Is Fairfield University comparable to top LACs?"
"371","371","So much for global warming"
"372","372","No calls"
"373","373","Undergrad was a complete jo/ke for me"
"374","374","I thought of a good movie idea"
"375","375","RIP Bond King"
"376","376","If you want to find a wife. go to church"
"377","377","Jebo?"
"378","378","Imagine investing in square stock"
"379","379","Bros post ITT if you’re proud of your dong"
"380","380","AI will choose my diet and keep me from procrastinating"
"381","381","Let’s get real about this stuff | MR"
"382","382","Do you consider adjucts quotacademicsquot"
"383","383","5% of Disney+ subscribers are childless adults"
"384","384","“Yeah I’ll have the double QPC meal. large fry, twenty chicken nuggets,"
"385","385","Thomas Jefferson HS hiding news of National Merit awards from its own students"
"386","386","Important policy issue: “PIG”ouvian tax on the fats"
"387","387","Stocks are oversold right now and are going to MOON Friday in Santa Rally"
"388","388","Ukraine needs to invade russia"
"389","389","Can you believe that there is some murun here who thinks Chinas TFR is 1.7??"
"390","390","ICE to Close Chicago Climate Futures Exchange"
"391","391","Huge photo of Kylian Mbappés goal at the World Cup final"
"392","392","Is Minnesota the easiest school to get into in top 2?"
"393","393","Essential workers cant afford to retire. send billions more to ukraine"
"394","394","Do women prefer girly looking faces or ogre looking men"
"395","395","Teslas market cap falls under $4 billion"
"396","396","NY at HKPU"
"397","397","The war cost US households 1.5 trillion dollars so far"
"398","398","Is Journal of Management Policy and Practice a scam?"
"399","399","Spurious causation?"
"400","400","A new marketing / consumer research scandal on sight?"
